method,technique,question_id,question,hit@k,mrr,precision@k,ndcg@k,recall@k,avg_rank,miss,redundancy,diversity,boundary,token_cost,latency_ms,context_relevance,faithfulness,answer_correctness
fixed_size,dense,0,What does a bank do with deposits and loans?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7219,0.2781,0.2,861,7.298,0.6917,0.6059,0.589
fixed_size,hybrid,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0,0.7057,0.2943,0.2,845,12.372,0.6894,0.6201,0.589
fixed_size,dense_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0,0.7195,0.2805,0.2,899,1387.874,0.6813,0.6134,0.5869
fixed_size,hybrid_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0,0.7195,0.2805,0.2,899,1328.684,0.6813,0.6134,0.5869
fixed_size,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7001,0.2999,0.2,645,6.583,0.6478,0.5177,0.5452
fixed_size,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6341,0.3659,0.2,698,11.443,0.6245,0.4958,0.5397
fixed_size,dense_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6669,0.3331,0.4,820,1360.383,0.6175,0.4877,0.5397
fixed_size,hybrid_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6669,0.3331,0.4,820,1401.663,0.6175,0.4877,0.5397
fixed_size,dense,2,What regulatory requirements are banks subject to?,0,0.0,0.0,0.0,0.0,,1,0.6899,0.3101,0.4,774,5.997,0.6713,0.4338,0.4499
fixed_size,hybrid,2,What regulatory requirements are banks subject to?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6775,0.3225,0.4,754,11.955,0.6673,0.4449,0.4503
fixed_size,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7306,0.2694,0.2,712,1466.844,0.661,0.4615,0.4503
fixed_size,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7306,0.2694,0.2,712,1410.32,0.661,0.4615,0.4503
fixed_size,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.7367,0.2633,0.2,838,5.174,0.6753,0.5939,0.5707
fixed_size,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.7221,0.2779,0.2,784,9.675,0.673,0.599,0.5707
fixed_size,dense_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.7095,0.2905,0.4,672,1362.846,0.6698,0.624,0.5707
fixed_size,hybrid_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.7095,0.2905,0.4,672,1366.407,0.6698,0.624,0.5707
fixed_size,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.7424,0.2576,0.2,915,4.934,0.6606,0.5665,0.5202
fixed_size,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6619,0.3381,0.2,870,9.312,0.6281,0.5518,0.5052
fixed_size,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6464,0.3536,0.4,776,1341.077,0.6304,0.5533,0.5052
fixed_size,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6464,0.3536,0.4,776,1317.805,0.6304,0.5533,0.5052
fixed_size,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6889,0.3111,0.2,686,4.831,0.6596,0.5082,0.5367
fixed_size,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6889,0.3111,0.2,686,9.192,0.6596,0.5082,0.5367
fixed_size,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.695,0.305,0.4,730,1366.95,0.6482,0.5144,0.5367
fixed_size,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.695,0.305,0.4,730,1362.743,0.6482,0.5144,0.5367
fixed_size,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6858,0.3142,0.2,764,5.843,0.5874,0.4839,0.5768
fixed_size,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6884,0.3116,0.2,798,11.055,0.5861,0.4895,0.5768
fixed_size,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6884,0.3116,0.2,798,1315.581,0.5861,0.4895,0.5768
fixed_size,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6884,0.3116,0.2,798,1081.163,0.5861,0.4895,0.5768
fixed_size,dense,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.7188,0.2812,0.2,859,5.377,0.5735,0.3576,0.4332
fixed_size,hybrid,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6857,0.3143,0.2,968,10.321,0.564,0.3674,0.4374
fixed_size,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6596,0.3404,0.6,858,1311.097,0.5497,0.3404,0.4332
fixed_size,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6596,0.3404,0.6,858,1304.264,0.5497,0.3404,0.4332
fixed_size,dense,8,Where did modern banking evolve?,1,0.2,0.2,0.1815,1.0,5.0,0,0.6622,0.3378,0.6,839,5.587,0.5816,0.3869,0.4104
fixed_size,hybrid,8,Where did modern banking evolve?,1,0.25,0.2,0.2021,1.0,4.0,0,0.6085,0.3915,0.4,829,10.057,0.5638,0.3408,0.3916
fixed_size,dense_rerank,8,Where did modern banking evolve?,0,0.0,0.0,0.0,0.0,,1,0.589,0.411,0.8,665,1319.061,0.5662,0.3564,0.396
fixed_size,hybrid_rerank,8,Where did modern banking evolve?,0,0.0,0.0,0.0,0.0,,1,0.589,0.411,0.8,665,1321.949,0.5662,0.3564,0.396
fixed_size,dense,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.7654,1.0,1.0,0,0.6729,0.3271,0.2,890,5.11,0.6659,0.488,0.5374
