method,technique,question_id,question,hit@k,mrr,precision@k,ndcg@k,recall@k,avg_rank,redundancy,diversity,boundary
fixed_size,dense,0,What does a bank do with deposits and loans?,1,0.3333,0.2,0.2346,1.0,3.0,0.7219,0.2781,0.2
fixed_size,hybrid,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0.7057,0.2943,0.2
fixed_size,dense_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0.7195,0.2805,0.2
fixed_size,hybrid_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0.7195,0.2805,0.2
fixed_size,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.7001,0.2999,0.2
fixed_size,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6341,0.3659,0.2
fixed_size,dense_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6669,0.3331,0.4
fixed_size,hybrid_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6669,0.3331,0.4
fixed_size,dense,2,What regulatory requirements are banks subject to?,0,0.0,0.0,0.0,0.0,,0.6899,0.3101,0.4
fixed_size,hybrid,2,What regulatory requirements are banks subject to?,1,1.0,0.2,0.4693,1.0,1.0,0.6775,0.3225,0.4
fixed_size,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7306,0.2694,0.2
fixed_size,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7306,0.2694,0.2
fixed_size,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.7367,0.2633,0.2
fixed_size,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.7221,0.2779,0.2
fixed_size,dense_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.7095,0.2905,0.4
fixed_size,hybrid_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.7095,0.2905,0.4
fixed_size,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.7424,0.2576,0.2
fixed_size,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6619,0.3381,0.2
fixed_size,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6464,0.3536,0.4
fixed_size,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6464,0.3536,0.4
fixed_size,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6889,0.3111,0.2
fixed_size,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6889,0.3111,0.2
fixed_size,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.695,0.305,0.4
fixed_size,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.695,0.305,0.4
fixed_size,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6858,0.3142,0.2
fixed_size,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6884,0.3116,0.2
fixed_size,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6884,0.3116,0.2
fixed_size,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6884,0.3116,0.2
fixed_size,dense,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.7188,0.2812,0.2
fixed_size,hybrid,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6857,0.3143,0.2
fixed_size,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6596,0.3404,0.6
fixed_size,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6596,0.3404,0.6
fixed_size,dense,8,Where did modern banking evolve?,1,0.2,0.2,0.1815,1.0,5.0,0.6622,0.3378,0.6
fixed_size,hybrid,8,Where did modern banking evolve?,1,0.25,0.2,0.2021,1.0,4.0,0.6085,0.3915,0.4
fixed_size,dense_rerank,8,Where did modern banking evolve?,0,0.0,0.0,0.0,0.0,,0.589,0.411,0.8
fixed_size,hybrid_rerank,8,Where did modern banking evolve?,0,0.0,0.0,0.0,0.0,,0.589,0.411,0.8
fixed_size,dense,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.7654,1.0,1.0,0.6729,0.3271,0.2
fixed_size,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.7654,1.0,1.0,0.6248,0.3752,0.2
fixed_size,dense_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.6714,1.0,1.0,0.651,0.349,0.2
fixed_size,hybrid_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.6714,1.0,1.0,0.651,0.349,0.2
overlapping,dense,0,What does a bank do with deposits and loans?,1,0.3333,0.2,0.2346,1.0,3.0,0.7219,0.2781,0.2
overlapping,hybrid,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0.7057,0.2943,0.2
