Domain,Topic,document Section,Question_type,Question,Answer,Facts,keywords,doc link
Finance,Fianceial crisis,Financial Crisis Definition,Definition,What is a financial crisis?,A financial crisis is a situation in which financial assets suddenly lose a large part of their nominal value.,Financial crisis involves sudden loss of asset value; It includes a broad variety of situations; It primarily affects financial assets; It may not always impact the real economy significantly,"financial crisis, asset value, nominal loss",https://docs.google.com/document/d/1XWHEttuppmGkUfBKZ55--37hUIUvM57X/edit?usp=drive_link&ouid=116388014911878546617&rtpof=true&sd=true
,,Economic vs Financial Crisis,Conceptual,How does an economic crisis differ from a financial crisis?,An economic crisis refers to a broader reduction of economic activity affecting the entire economy.,Economic crisis impacts whole economy; Financial crisis focuses on asset value loss; Economic crisis involves reduced activity; Financial crisis may not affect real economy significantly,"economic crisis, financial crisis, economic activity",
,,Banking Crisis,Definition,What is a banking crisis?,A banking crisis occurs when widespread bank runs lead to insolvency of banks.,Bank run involves sudden withdrawals by depositors; Banks cannot quickly repay deposits due to fractional-reserve banking; Widespread runs create systemic crisis; Insolvency leads to depositor losses,"banking crisis, bank run, insolvency",
,,Currency Crisis,Definition,What is a currency crisis?,A currency crisis is a situation where a currency rapidly depreciates due to loss of confidence in a pegged exchange rate.,Occurs when exchange rate peg is expected to fail; Leads to speculation against currency; Causes rapid depreciation; Often linked to exchange reserve decline,"currency crisis, depreciation, exchange rate",
,,Speculative Bubble,Conceptual,What is a speculative bubble?,A speculative bubble is a situation of sustained overpricing of assets driven by expectations of resale at higher prices.,Buyers purchase assets expecting future resale gains; Prices rise beyond fundamental value; Bubble depends on continued buying; Collapse occurs when selling begins,"speculative bubble, asset pricing, overvaluation",
,,Liquidity Crisis,Definition,What is a liquidity crisis?,A liquidity crisis occurs when institutions face a sudden shortage of cash or funding to meet short-term obligations.,Involves shortage of cash or funding; Affects financial institutions or markets; Impacts ability to meet short-term liabilities; Can disrupt normal financial operations,"liquidity crisis, funding shortage, obligations",
,,Leverage,Cause-Effect,How does leverage contribute to financial crises?,"Leverage contributes by amplifying both potential returns and losses, increasing the risk of bankruptcy.",Leverage involves borrowing to invest; It increases potential gains; It also increases potential losses; Bankruptcy risk can spread across institutions,"leverage, borrowing, bankruptcy",
,,Asset-Liability Mismatch,Cause-Effect,What is asset-liability mismatch in financial institutions?,Asset-liability mismatch occurs when the risks of assets and liabilities are not properly aligned.,Banks have short-term liabilities like deposits; They invest in long-term assets like loans; Mismatch creates liquidity issues; It can trigger bank runs,"asset liability mismatch, banking risk",
,,Contagion,Conceptual,What is contagion in financial crises?,Contagion is the spread of financial crises from one institution or country to others.,Crisis spreads across institutions or countries; Bank runs can spread between banks; Currency crises can spread internationally; It increases systemic risk,"contagion, systemic risk, crisis spread",
,,Recession,Definition,What defines a recession in economic terms?,A recession is defined as negative GDP growth lasting two or more quarters.,Requires two consecutive quarters of negative GDP; Indicates economic decline; Can be caused by financial crises; Severe recession may be called depression,"recession, GDP, economic decline",
,,,,,,,,
